time, pressure, temperature, humidity
10.0,98663.62168335215,26.44552377495305,67.63846984664792
10.0,98251.31037025826,20.436356512357424,39.356116889307756
20.0,101685.70591104445,23.967948364955646,46.90154481424915
30.0,99683.46817690722,27.163619722809997,47.93421059709166
40.0,99301.8286492021,25.567901379739745,76.99815189070574
50.0,100836.56316578425,29.632018232267058,32.99376102241295
60.0,98536.00053589948,26.298298968482307,43.932107760620426
70.0,100818.50988233712,22.942192482026396,69.99122086763414
80.0,99458.51603955675,19.10623639086776,79.82950664057648
90.0,100769.0574997167,21.637532923303233,63.364447957563684
100.0,98361.01594191532,18.5337188250927,44.153086827649744
110.0,101970.65230742398,21.245926283266417,39.07706226168198
120.0,100736.81026852039,16.219231134709386,34.875230034904696
130.0,98460.72894689131,24.333775713172006,50.057979253966764
140.0,100444.12274417318,17.773759810100366,60.83015573246816
10.0,98773.97812918386,18.975783079202806,30.183262006616662
10.0,100932.5324371126,21.292100108835374,78.08138229658294
20.0,99275.03496841526,26.767118885256714,47.091918907393136
30.0,101685.11709728854,22.97333267159602,52.75076733971339
40.0,101584.5317916706,26.256208220370297,54.8803079687641
50.0,99602.7577807781,17.990795169309752,72.9756449578903
60.0,101220.42033197444,24.892425236047114,60.55298572061288
70.0,101114.79102777014,25.578280371219066,33.40385211522244
80.0,98087.48361469326,19.88053914453708,60.33415047062367
90.0,99085.7825314436,24.39817962597277,46.21482665262539
100.0,98687.888119162,25.67284896007901,59.87300474405269
110.0,99312.94995608217,17.593753730501543,44.20751927131935
120.0,98439.69378729233,23.23385708228689,76.89938242191636
130.0,101598.09098054697,17.223844139106426,65.49557235884383
140.0,101866.07121984546,15.151922071849217,63.8266930878484
150.0,99305.4345582903,28.688481704165497,72.21250814254273
